variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Chiapetta;4305405;-27,92299999999;-53,94189999999;2918705;3897490;3881470;5989996;6024944;5892518
Chuí;4305439;-33,68659999999;-53,4594;5829686;6987674;11243740;14111178;18578416;39719459
Chuvisca;4305447;-30,75039999999;-51,9737;1463464;1812741;2562436;3001431;3773345;2710730
Cidreira;4305454;-30,16039999999;-50,2338;4403238;5186685;8755160;10054158;12057315;13643595
Ciríaco;4305504;-28,34189999999;-51,87409999999;1743929;1780797;2837771;3240796;3572376;4041753
Colinas;4305587;-29,38149999999;-51,8526;1579796;2167244;3350813;3728404;4423512;4445539
Colorado;4305603;-28,5258;-52,9928;4287321;4690921;5451910;5436734;5660908;6747072
Condor;4305702;-28,2075;-53,49049999999;6190977;6998128;8274215;10466022;10766408;13403323
Constantina;4305801;-27,73199999999;-52,9938;6409314;7601429;11696184;14241025;15923412;16641163
Coqueiro Baixo;4305835;-29,1722;-52,0989;769329;978446;1232135;1271231;1531876;1731366
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;1102921;1249205;1939796;2286870;2400461;2724268
Coronel Barros;4305871;-28,39219999999;-54,0686;1493798;2122961;3263647;4049844;4012661;4886854
Coronel Bicaco;4305900;-27,7197;-53,70219999999;2918176;3952949;4675453;5678554;6560900;7762178
Coronel Pilar;4305934;-29,2684;-51,68789999999;732510;774336;962568;1148766;1139136;1226447
Cotiporã;4305959;-28,9891;-51,69709999999;5250787;5530912;8146688;8826521;9518221;10190912
Coxilha;4305975;-28,128;-52,3023;3125938;3174146;4880208;5968578;5614865;6684300
Crissiumal;4306007;-27,4999;-54,0994;10211048;12671124;17556571;19767246;20008667;20877401
Cristal;4306056;-31,0046;-52,04359999999;4109058;4774287;7384166;8568401;9867035;10141937
