variavel: Arrecadação Total;;;;;;;;;;;;
caminho: /Finanças Públicas/Tributos Estaduais/Arrecadação Total;;;;;;;;;;;;
fonte: Secretaria da Fazenda do Rio Grande do Sul. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Três Coroas;4321709;-29,5137;-50,77389999999;50707305;50486753;52840866;48011844;48689815;46988534;51629112;52280635;48330744
Três de Maio;4321808;-27,78;-54,2357;13271621;13477125;14946857;14276374;16964211;24029565;34680163;29405524;31626707
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;510010;590058;554401;597627;701952;842163;931948;685392;759999
Três Palmeiras;4321857;-27,6139;-52,84369999999;805409;604155;667073;911136;965116;1498741;1292333;1489751;1714702
Três Passos;4321907;-27,4555;-53,9296;29151628;16569522;20661100;31003810;25627642;27822443;27970385;30668346;34299628
Trindade do Sul;4321956;-27,5239;-52,8956;5438709;6092671;8111176;9117370;12051572;11447575;13400819;7732792;8769940
Triunfo;4322004;-29,92909999999;-51,7075;142598468;184579580;156591105;127654268;264065220;471542619;665624854;897764238;1308091862
Tucunduva;4322103;-27,65729999999;-54,44389999999;2110371;1644984;1789061;2214817;2758059;2362592;7101792;4185311;4239197
Tunas;4322152;-29,10389999999;-52,9538;342496;320932;312860;452755;529678;588375;507714;501254;624158
Tupanci do Sul;4322186;-27,92409999999;-51,5383;210595;193420;212792;200108;238568;255794;318863;347547;458408
Tupanciretã;4322202;-29,08579999999;-53,84449999999;7445427;7165063;7176609;9057512;12856850;10252896;12259374;14962383;14441807
Tupandi;4322251;-29,4772;-51,4174;4127171;5444402;9504340;10208027;12797054;14265340;10421098;15161749;20345310
Tuparendi;4322301;-27,75979999999;-54,4814;2005447;1597844;1924521;2561124;2763681;3143089;3497728;3830943;5287074
Turuçu;4322327;-31,4173;-52,1706;332364;354688;382273;445101;459175;764419;826347;572602;743210
Ubiretama;4322343;-28,0404;-54,68589999999;148777;170993;221126;248438;270166;294126;338505;301792;468349
União da Serra;4322350;-28,7833;-52,0238;285703;266294;293933;357745;342148;394570;418857;494720;700401
Unistalda;4322376;-29,03999999999;-55,15169999999;141712;287760;233195;396487;274941;336057;316224;373755;524641
Uruguaiana;4322400;-29,76139999999;-57,08529999999;82335214;70665988;80229902;84923680;86883209;103562943;105720269;107331042;115978589
Vacaria;4322509;-28,50789999999;-50,9418;87229406;73723387;71790475;82195486;85333398;76158961;59348791;51846629;63138626
Vale do Sol;4322533;-29,59669999999;-52,6839;1378687;1409462;1543974;1860166;2063801;2272370;2331106;2295404;2437595
Vale Real;4322541;-29,3919;-51,25589999999;1940335;2162054;2261414;2937264;3227875;5344819;6477348;6663063;8984243
Vale Verde;4322525;-29,7864;-52,18569999999;1244280;1085316;777030;585836;1154177;1511892;1378636;1491355;2687408
Vanini;4322558;-28,4758;-51,8447;459896;398642;480580;524094;596029;680215;687735;688705;952357
Venâncio Aires;4322608;-29,6143;-52,19319999999;41175545;40938041;44156018;51440696;54993701;59427105;64897843;66229746;77542029
Vera Cruz;4322707;-29,71839999999;-52,5152;7900520;7920280;10040532;12129696;13938270;17459625;23391652;23512543;29811732
Veranópolis;4322806;-28,9312;-51,5516;53280161;62300444;63130296;50761594;54548404;53768011;58404050;58868305;81742153
Vespasiano Correa;4322855;-29,0655;-51,8625;344980;371630;377190;474634;535618;625617;538467;696524;715242
Viadutos;4322905;-27,5716;-52,02109999999;947588;911218;959187;1154051;1424697;1286464;1312408;1452077;1708652
Viamão;4323002;-30,0819;-51,01939999999;382964913;390157924;405627513;451484140;569261390;533559357;505328697;604744830;563164780
Vicente Dutra;4323101;-27,16079999999;-53,4022;468895;439344;452276;487478;558803;582697;812842;880219;1100248
Victor Graeff;4323200;-28,56319999999;-52,74949999999;709946;831869;740208;979507;1532365;1497497;1328098;1729445;1826384
Vila Flores;4323309;-28,8598;-51,5504;5507044;5569457;6823215;8359773;8998251;10126214;9957890;9702047;13315771
Vila Lângaro;4323358;-28,1062;-52,14379999999;549933;505439;869470;1371196;1944482;2708603;3141940;4913839;3951548
Vila Maria;4323408;-28,5359;-52,14869999999;2437491;2095458;2074603;2711026;4781668;3294561;3636924;4578994;7066824
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;475266;514128;626012;675760;913375;1221904;1848845;1435941;1947615
Vista Alegre;4323507;-27,3686;-53,4919;1599975;2090824;1968221;5854206;2608620;758036;846127;1122782;4529988
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;382349;368556;752179;946546;1261668;393776;491340;507155;561611
Vista Gaúcha;4323705;-27,29019999999;-53,6974;1054187;493635;630098;638103;678222;773823;870828;1029958;1695927
Vitória das Missões;4323754;-28,3516;-54,50399999999;307169;297778;367623;519327;982003;541797;616493;889423;954412
Westfalia;4323770;-29,3744;-51,74629999999;1459341;1557091;2016283;4630149;6267490;6255292;6642292;8543881;9175168
Xangri-lá;4323804;-29,8065;-50,0519;3976839;4042670;4557889;4885321;6122359;6709012;7532498;8329478;9641489
