variavel: Arrecadação Total;;;;;;;;;;;;
caminho: /Finanças Públicas/Tributos Estaduais/Arrecadação Total;;;;;;;;;;;;
fonte: Secretaria da Fazenda do Rio Grande do Sul. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$);2016 (R$);2017 (R$);2018 (R$)
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;1546047;1372731;1639712;2551650;2464998;2534760;2660110;2358940;3070325
Cerro Largo;4305207;-28,1462;-54,7428;27361240;24511048;21349976;21731528;23407427;19062560;19663976;15252872;14575449
Chapada;4305306;-28,0559;-53,06649999999;2542568;2809711;3664700;5073922;5225016;6053233;7493474;6065880;7415237
Charqueadas;4305355;-29,9625;-51,6289;106595500;112718796;109827035;123335270;106138617;104401872;107305570;115403373;132989600
Charrua;4305371;-27,9493;-52,015;278588;342867;401381;449158;437548;558540;466467;473315;809319
Chiapetta;4305405;-27,92299999999;-53,94189999999;658262;636793;650864;1254815;941340;1231744;1216046;1193662;1537186
Chuí;4305439;-33,68659999999;-53,4594;2582135;2566918;2763962;4008301;5520978;6804872;7012497;9238529;10979017
Chuvisca;4305447;-30,75039999999;-51,9737;518464;468376;493927;516624;628437;639430;749723;729843;905138
Cidreira;4305454;-30,16039999999;-50,2338;1953736;1688921;2137450;2512879;2706582;3830730;3914690;4295253;4330392
Ciríaco;4305504;-28,34189999999;-51,87409999999;798897;782414;790262;825288;998534;1046915;1166736;1310416;1792410
Colinas;4305587;-29,38149999999;-51,8526;594416;711900;832960;1158718;1424327;1854859;2147285;2158223;2352577
Colorado;4305603;-28,5258;-52,9928;917749;902866;1092588;1859029;2137916;1600315;2185839;1676220;1829048
Condor;4305702;-28,2075;-53,49049999999;3945159;3727479;4291623;7669543;7233426;7694996;8523724;9289121;10476095
Constantina;4305801;-27,73199999999;-52,9938;2712229;2817891;3388693;5117612;5181988;4930034;5364358;7799543;11592508
Coqueiro Baixo;4305835;-29,1722;-52,0989;196453;200283;203298;240112;239319;286723;281512;268097;353155
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;254079;305661;459039;602975;536684;554337;619472;641996;1184158
Coronel Barros;4305871;-28,39219999999;-54,0686;866142;1100157;981165;1826727;1883909;1640082;1698570;2119698;2765805
Coronel Bicaco;4305900;-27,7197;-53,70219999999;1215862;1886504;2774037;2009439;3076950;3233340;7467844;5577518;5719201
Coronel Pilar;4305934;-29,2684;-51,68789999999;411391;381870;423130;507338;464730;543356;565422;494242;772331
Cotiporã;4305959;-28,9891;-51,69709999999;1740124;2812468;2808720;3706915;5528715;6171161;5638995;5750093;10090707
Coxilha;4305975;-28,128;-52,3023;1093520;961853;984293;1526202;2223279;2348841;2528768;2735361;4175861
Crissiumal;4306007;-27,4999;-54,0994;4776147;4434308;5221750;4475535;4459826;4474841;4848116;7653927;6333184
Cristal;4306056;-31,0046;-52,04359999999;1411584;1352174;1564722;2673779;2487619;3004226;3087262;3274977;3288264
Cristal do Sul;4306072;-27,452;-53,24219999999;444360;208327;273409;341006;391139;354973;464400;432846;482601
Cruz Alta;4306106;-28,645;-53,60479999999;30508717;28628378;27982287;37658986;47043176;39690149;42748795;48753296;65848999
Cruzaltense;4306130;-27,6644;-52,6492;226867;434058;425852;491391;604633;572180;385605;826127;667685
Cruzeiro do Sul;4306205;-29,5148;-51,9928;3353687;4394550;4847265;6490170;7767083;9028738;9642719;11246477;14848811
David Canabarro;4306304;-28,38489999999;-51,84819999999;1108038;1220268;1301530;1409243;1534564;2296171;2517365;1996176;2235201
Derrubadas;4306320;-27,26419999999;-53,8645;218844;284613;324324;496701;499364;439420;581062;682191;827430
Dezesseis de Novembro;4306353;-28,219;-55,0617;184669;211167;215213;306470;286460;324562;381161;339656;663683
Dilermando de Aguiar;4306379;-29,7054;-54,2122;276613;713324;491547;496428;436632;642094;564143;707831;891695
Dois Irmãos;4306403;-29,5836;-51,08979999999;39393266;49631438;65600597;78355055;84295268;77674053;62756269;65292183;70770195
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;328722;278060;382381;497089;1239442;614257;704865;722233;934171
Dois Lajeados;4306452;-28,983;-51,83959999999;868685;1005090;810557;870664;958690;1371215;1330468;1264581;1645844
Dom Feliciano;4306502;-30,70039999999;-52,1026;1428792;1250874;1222671;1545712;1624257;2010419;2135945;2023817;2533085
Dom Pedrito;4306601;-30,9756;-54,6694;26645384;22184460;23371811;27725947;26747624;40129374;41469503;38739356;32064542
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;714575;558720;669258;736200;754768;806892;837667;817934;1019487
Dona Francisca;4306700;-29,61949999999;-53,36169999999;1660273;1775814;2342294;2696899;2794127;3172417;3926326;3956917;3353800
Doutor Maurício Cardoso;4306734;-27,5103;-54,35779999999;640225;690745;859981;942356;1055091;1093990;1206900;3242143;2534260
Doutor Ricardo;4306759;-29,084;-51,9971;1228501;2236415;2942675;4346647;4728086;2096605;1903787;2285834;1764589
Eldorado do Sul;4306767;-30,0847;-51,61869999999;51901327;59384911;57076431;67561799;123914533;211950631;283511374;292241223;300303129
Encantado;4306809;-29,23509999999;-51,8703;27774897;25944930;31070732;33105490;38140560;41149006;37824424;41099544;46097325
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;3971512;3903547;4251837;5681345;6206933;7122011;7309684;7896998;8194550
Engenho Velho;4306924;-27,706;-52,91449999999;117050;143446;183465;172105;198228;239720;248918;274596;473837
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;2136127;1965959;1186080;877543;1053388;888014;2525816;8913835;10307553
Entre-ijuís;4306932;-28,3686;-54,26859999999;1869383;1769453;1976068;2265211;2929012;2741061;3149794;3829148;4215214
Erebango;4306973;-27,85439999999;-52,3005;586131;910255;999787;1666841;860477;1030934;1756863;1025172;1209332
Erechim;4307005;-27,63639999999;-52,2697;108147519;136815547;135616818;148910392;188233528;222233614;210112346;195053734;210930185
Ernestina;4307054;-28,49769999999;-52,58359999999;578497;567132;975753;850028;1527080;1900907;3864611;2803086;2423356
Erval Grande;4307203;-27,3926;-52,57399999999;1113326;1077286;1467817;1376598;2274991;1878327;1730450;1544855;2324148
Erval Seco;4307302;-27,5443;-53,5005;2356368;3954697;4559787;4277299;4564384;4647748;5919987;6500360;7519991
Esmeralda;4307401;-28,0518;-51,1933;589422;685187;832212;771044;1085155;1040779;1182150;2577001;1790629
Esperança do Sul;4307450;-27,36029999999;-53,9891;229027;450758;988294;1462527;2507164;3655838;1781550;1295126;1268645
Espumoso;4307500;-28,7286;-52,8461;5344226;5215132;6096689;8432307;9775417;9376074;9337327;10069803;11357544
Estação;4307559;-27,91349999999;-52,2635;3010935;4476004;5171283;6700879;6744717;9467778;15205833;16314842;14081459
Estância Velha;4307609;-29,6535;-51,1843;34974846;32083656;37026583;43424129;53832693;54619694;54225968;54683633;70947856
Esteio;4307708;-29,852;-51,1841;196530770;194291389;241052090;285903886;294506264;245715687;298400894;222543440;274442988
Estrela;4307807;-29,5016;-51,9605;37879344;41928456;42413857;43245905;46046714;42078221;50647014;54795026;64709803
Estrela Velha;4307815;-29,17129999999;-53,16389999999;550666;801408;745197;928123;1630346;932354;1297294;1094273;1143945
Eugênio de Castro;4307831;-28,5315;-54,15059999999;2806680;3131813;4167695;7928846;987142;494178;724218;920788;1132787
Fagundes Varela;4307864;-28,8794;-51,7014;788006;993884;1229184;1323401;1679780;1959330;2048826;2684800;3054350
Farroupilha;4307906;-29,2227;-51,3419;143552391;149782626;181260032;210023326;194251546;173353492;217103981;221393282;241582053
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;7652948;7923948;7413658;6345863;7827749;10834243;13654816;13263251;18142396
Faxinalzinho;4308052;-27,4238;-52,67889999999;394206;365993;340054;456528;496136;514640;1103771;590138;598366
Fazenda Vilanova;4308078;-29,5885;-51,8217;9243464;3939327;2501490;4168598;1110835;7294536;17047192;3099624;2674054
Feliz;4308102;-29,4527;-51,30319999999;10741338;10444287;10209239;13107602;11796385;12652416;10613868;11854826;14457947
Flores da Cunha;4308201;-29,02619999999;-51,1875;66058999;79069034;91033789;108527581;119969557;128252422;143084853;151997768;167269361
Floriano Peixoto;4308250;-27,8614;-52,08379999999;163406;211933;268694;248251;334899;391173;354125;378117;571820
Fontoura Xavier;4308300;-28,9816;-52,34449999999;2961822;2647231;3784651;3644315;4388358;5874540;6937835;7598045;10762612
Formigueiro;4308409;-30,00349999999;-53,49589999999;5719083;5088700;5351731;6688862;5821953;5523971;7897089;7566126;8258822
Forquetinha;4308433;-29,3792;-52,0917;604026;613455;766018;671157;898991;906412;993569;1449118;1406740
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;1315054;1162420;1615810;1469002;2431273;1829658;1704007;1949411;2552641
Frederico Westphalen;4308508;-27,35859999999;-53,3958;19098468;19383508;27070590;40410866;55871090;44593566;52169404;50698940;56214183
Garibaldi;4308607;-29,259;-51,5352;78510095;87152476;97844756;103475874;113445595;121167479;119458153;127373972;148003184
Garruchos;4308656;-28,1944;-55,6383;7006266;210459;208034;213216;1666129;6603570;534840;1045478;442888
Gaurama;4308706;-27,58559999999;-52,0915;4413052;3811699;3482243;4056872;4406957;4044280;3755716;5533363;7830885
General Câmara;4308805;-29,90319999999;-51,7612;2751913;2331875;2825339;2489457;2275731;2269821;2359635;2485881;3238024
Gentil;4308854;-28,4316;-52,0337;369166;667522;560068;614657;683452;923744;633658;493217;1517668
Getúlio Vargas;4308904;-27,8911;-52,22939999999;9382432;11174618;11799135;11675186;12522326;14711417;17137359;18818502;22922924
Giruá;4309001;-28,02969999999;-54,3517;8426833;7521739;9197720;10758673;9882542;9769910;10259214;10523466;12439236
Glorinha;4309050;-29,87979999999;-50,7734;18450192;30271529;36424407;36461633;37386251;43392798;38632433;15624931;12064684
Gramado;4309100;-29,3733;-50,87619999999;49951107;51942657;62575646;69359248;90323715;115597294;69712105;74233031;86549280
Gramado dos Loureiros;4309126;-27,4429;-52,9149;165769;173056;220096;268335;321467;331228;356639;425919;561314
Gramado Xavier;4309159;-29,2706;-52,5795;319338;317337;350702;481801;562857;607718;632917;606958;756452
