variavel: de Pessoas de 15 Anos ou Mais;;;;
caminho: /Educação/Taxa de Analfabetismo/de Pessoas de 15 Anos ou Mais;;;;
fonte: Instituto Brasileiro de Geografia e Estatística. ;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (%)
Ibarama;4309753;-29,4203;-53,1295;6,85
Ibiaçá;4309803;-28,0566;-51,8599;6,7
Ibiraiaras;4309902;-28,37409999999;-51,6377;5,98
Ibirapuitã;4309951;-28,6247;-52,51579999999;9,99
Ibirubá;4310009;-28,63019999999;-53,0961;3,44
Igrejinha;4310108;-29,56929999999;-50,79189999999;3,48
Ijuí;4310207;-28,3881;-53,92;4,16
Ilópolis;4310306;-28,9282;-52,12579999999;6,79
Imbé;4310330;-29,9753;-50,1281;3,17
Imigrante;4310363;-29,3508;-51,7747;1,32
Independência;4310405;-27,8354;-54,1886;7,95
Inhacorá;4310413;-27,8752;-54,015;10,55
Ipê;4310439;-28,8171;-51,28589999999;6,3
Ipiranga do Sul;4310462;-27,9404;-52,4271;3,38
Iraí;4310504;-27,1951;-53,2543;9,44
Itaara;4310538;-29,60129999999;-53,7725;5,72
Itacurubi;4310553;-28,7913;-55,2447;8,36
Itapuca;4310579;-28,7768;-52,1693;9,13
Itaqui;4310603;-29,131;-56,55149999999;6,27
Itati;4310652;-29,48832;-50,11357999999;12,92
Itatiba do Sul;4310702;-27,38459999999;-52,4538;11,24
Ivorá;4310751;-29,52319999999;-53,5842;4,84
Ivoti;4310801;-29,59949999999;-51,1533;1,88
Jaboticaba;4310850;-27,63469999999;-53,2762;12,16
Jacuizinho;4310876;-29,02199999999;-53,05369999999;11,73
Jacutinga;4310900;-27,72909999999;-52,53719999999;6,23
Jaguarão;4311007;-32,5604;-53,377;6,62
Jaguari;4311106;-29,4936;-54,703;5,82
Jaquirana;4311122;-28,8811;-50,3637;10,72
Jari;4311130;-29,2922;-54,2237;7,65
Jóia;4311155;-28,6435;-54,1141;6,26
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;5,65
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;10,66
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;2,22
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;7,44
Lagoão;4311254;-29,2348;-52,7997;20,11
Lajeado;4311403;-29,45909999999;-51,96439999999;2,69
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;18,33
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;9,18
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;12,68
Lindolfo Collor;4311627;-29,58589999999;-51,2141;3,78
Linha Nova;4311643;-29,4679;-51,20029999999;2,86
Maçambará;4311718;-29,1445;-56,06739999999;9,44
Machadinho;4311700;-27,5667;-51,6668;10,55
Mampituba;4311734;-29,2136;-49,9311;10,22
Manoel Viana;4311759;-29,58589999999;-55,48409999999;9,77
Maquiné;4311775;-29,6798;-50,2079;7,64
Maratá;4311791;-29,5457;-51,55729999999;3,06
Marau;4311809;-28,4498;-52,19859999999;3,03
Marcelino Ramos;4311908;-27,4676;-51,9095;6,42
Mariana Pimentel;4311981;-30,3531;-51,5803;7,56
Mariano Moro;4312005;-27,3568;-52,1467;7,27
Marques de Souza;4312054;-29,33109999999;-52,09729999999;6,91
Mata;4312104;-29,5649;-54,4641;7,52
Mato Castelhano;4312138;-28,28;-52,19319999999;9,38
Mato Leitão;4312153;-29,5285;-52,1278;3,8
Mato Queimado;4312179;-28,2475;-54,61919999999;7,59
