variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Boqueirão do Leão;4302451;-29,3046;-52,4284;79804,25;92817,99;83377,87;101671,04;109819,39;102272,06;114935,23;133405,89;131613,99
Bossoroca;4302501;-28,72909999999;-54,9035;139995,91;148972,62;122804,13;219262,71;221604,95;239136,42;294653,37;272205,18;329363,95
Bozano;4302584;-28,36746;-53,77223999999;38632,02;47874,79;30948,96;71828,4;73891,08;95320,09;109117,77;105479,03;155771,09
Braga;4302600;-27,6173;-53,74049999999;47539,63;50555,95;49469,64;70483,36;71364,64;72414,57;79567,54;76152,96;85877,45
Brochier;4302659;-29,5501;-51,59449999999;53512,13;56289,97;62746,78;68686,8;75969,33;80985,77;79588,56;86883,18;83653,66
Butiá;4302709;-30,11789999999;-51,96009999999;260633,11;279717,47;270688,04;329252,64;372857,78;408596,92;428011,43;433648,19;445038,38
Caçapava do Sul;4302808;-30,51439999999;-53,4827;406799,99;451812,4;488723,6;626788,82;665129,23;725204,98;783551,84;815748,92;816532,99
Cacequi;4302907;-29,8883;-54,822;157587,73;175575,53;201219,97;253371,48;281477,77;310651,1;307957,06;321115,17;342256,04
Cachoeira do Sul;4303004;-30,033;-52,8928;1222147,57;1399729,57;1507098,79;1828073,66;2048545,96;2123530,94;2277151,44;2298799,98;2354964,13
Cachoeirinha;4303103;-29,94719999999;-51,10159999999;4248239,3;4748104,61;5229385,85;5672015,29;6174729,95;5983149,32;5025165,26;4960250,37;5272956,5
Cacique Doble;4303202;-27,76699999999;-51,6597;59115,03;61734;69061,93;74535,01;84775,31;86847,82;102105,39;96031,99;113810,07
Caibaté;4303301;-28,2905;-54,6454;69304,55;85940,95;75881,52;131287,26;132552,37;138045,53;168746,29;159188,4;178321,8
Caiçara;4303400;-27,2791;-53,42569999999;51634,15;58391,5;56617,26;80872,3;88804,37;82721,19;97985,38;97405,57;101442,73
Camaquã;4303509;-30,8489;-51,80429999999;1034395,26;1105186,2;1285368,48;1484685,49;1651832,65;1718678,98;1916777,79;2027359,88;2011790,83
Camargo;4303558;-28,588;-52,20029999999;52326,68;58964,6;77365,24;137778,13;144572,13;157345,87;168426,49;166716,78;165766,17
Cambará do Sul;4303608;-29,0474;-50,1465;105716,2;113233,42;98607,32;109481,65;120568,99;131091,17;141911,18;148646,57;180823,83
Campestre da Serra;4303673;-28,7926;-51,09409999999;62158,5;66332,46;79532,91;94164,39;108117,56;127511,59;145229,9;146995,74;171638,96
Campina das Missões;4303707;-27,9888;-54,8417;68467,76;79140,48;78177,45;103147,22;107704,09;122473,56;145491,53;146340,77;152430,08
Campinas do Sul;4303806;-27,7174;-52,6248;105987,31;125727,9;127647,45;178374,91;173158,86;177373,63;207031,15;192728,76;221363,54
Campo Bom;4303905;-29,6747;-51,0606;1754045,31;1764061,19;1865440,8;2170712,41;2334482,71;2600322,32;2776636,15;2815006;3120148,69
Campo Novo;4304002;-27,6792;-53,80519999999;94139,16;104062,54;99630,29;148273,56;159218,11;177067,74;194963,59;190054,71;209435,38
Campos Borges;4304101;-28,8871;-53,00079999999;51422,01;50741,87;47884,46;77384,66;73769,57;82518,46;90576,78;86438,47;99396,52
Candelária;4304200;-29,66839999999;-52,78949999999;383562,39;418058,72;451667,23;566127,31;599563,26;667031,76;670956,71;773001,81;832089,83
Cândido Godói;4304309;-27,95149999999;-54,7517;125680,4;125996,84;119702,26;164764,78;186073,51;187186,13;217678,33;223341,09;237985,22
