variavel: Total;;;;;;;;;;;;
caminho: /Contabilidade Social/Série 2002 em diante/PIB/Total;;;;;;;;;;;;
fonte: Fundação de Economia e Estatística/Núcleo de Contabilidade Social. ;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$ mil);2011 (R$ mil);2012 (R$ mil);2013 (R$ mil);2014 (R$ mil);2015 (R$ mil);2016 (R$ mil);2017 (R$ mil);2018 (R$ mil)
Santo Antônio da Patrulha;4317608;-29,82679999999;-50,51749999999;573106,19;618273,61;722521,37;965228,2;1060834,63;1063288,82;1130283,45;1266970,14;1274746,14
Santo Antônio das Missões;4317707;-28,51399999999;-55,22509999999;149618,99;164885,95;131757,47;227271,21;228609,3;278811,5;307519,73;317673,46;380408,29
Santo Antônio do Palma;4317558;-28,4956;-52,02669999999;35972,87;43460,12;47035,17;63137,07;71172,76;70627,88;68143,28;76755,8;89045,32
Santo Antônio do Planalto;4317756;-28,40309999999;-52,69919999999;53061,28;60456,14;51354,45;87681,13;76154,42;91020,73;102984,05;93149,67;111507,06
Santo Augusto;4317806;-27,85259999999;-53,7776;244638,5;305898,87;273667,2;410086,61;407132,62;466558,71;513983,82;572660,1;554969,95
Santo Cristo;4317905;-27,8263;-54,66199999999;274500,49;290517,07;313332,29;390583,94;407400,48;429499,37;486782,69;501595,87;569915,54
Santo Expedito do Sul;4317954;-27,90739999999;-51,6433;34997,04;38290,79;37670,92;53461,06;58846,12;62075,3;70999,91;63429,71;74403,87
São Borja;4318002;-28,6578;-56,00359999999;982264,69;1058719,51;1195038,41;1481004,73;1505299,65;1613083,18;1683001,73;1784089,38;1905563,52
São Domingos do Sul;4318051;-28,53119999999;-51,886;33588,53;38573,24;38510,56;48017,32;55439,01;59430,85;61996,4;64715,99;65008,58
São Francisco de Assis;4318101;-29,5547;-55,1253;188821,39;215020,23;225764,74;321503,9;338515,55;371758,29;437161,1;445295,44;494104,99
São Francisco de Paula;4318200;-29,4404;-50,58279999999;326081,01;339802,56;359099,43;413271,6;455102,55;526673,57;654796,02;602431,24;614630,28
São Gabriel;4318309;-30,3337;-54,3217;996979,76;874641,15;945651,9;1181748,12;1274980,67;1504427,76;1607637,93;1708474,56;1841545,86
São Jerônimo;4318408;-29,97159999999;-51,72509999999;346805,86;360463,92;397588,25;418309,59;486950,39;535062,72;571730,7;590487,18;582104,28
São João da Urtiga;4318424;-27,8195;-51,82569999999;61366,37;71251,59;77141,59;100909,35;116418,31;113944,84;121198,38;120248,36;132766,73
São João do Polêsine;4318432;-29,61939999999;-53,44389999999;29941,97;36358,05;38822,41;52465,49;64357,34;69233,96;71177,36;74192,77;75387,18
São Jorge;4318440;-28,4984;-51,7064;43725,78;49582,52;50887,5;63496,75;68869,09;73653,37;83238,17;81529,67;85329,44
São José das Missões;4318457;-27,7789;-53,12259999999;30873,32;33771,34;31630,29;45644,62;47799,16;50913,94;58074,13;51790,66;59767,98
São José do Herval;4318465;-29,052;-52,295;26426,71;32118,73;33334,86;41515,01;44008,54;42865,59;48802,58;47257,71;44947,55
São José do Hortêncio;4318481;-29,52799999999;-51,245;77234,21;85356,87;93015,44;98605,89;119049,89;122166,47;121000,81;122892,33;122016,85
São José do Inhacorá;4318499;-27,7251;-54,12749999999;37786,11;43701,85;45697,92;64329,01;73004,18;72590,71;80770,16;82105;95592,31
São José do Norte;4318507;-32,01509999999;-52,03309999999;205441,91;207601,85;237535,27;268277,17;318861,58;351616,23;343118,33;337814,8;813317,24
São José do Ouro;4318606;-27,7707;-51,5966;158343,13;177174,44;180171,66;224327,58;257754,82;242009,92;331856,9;298759,2;291613,54
São José do Sul;4318614;-29,529;-51,48709999999;30467,06;34914,6;39999,42;45462,16;52856,99;55061,59;70553,87;80787,37;60150,08
São José dos Ausentes;4318622;-28,74759999999;-50,0677;60490,8;47860,89;56522,25;76376,77;76163,31;93785,56;105663,21;82198,68;90348,31
São Leopoldo;4318705;-29,7545;-51,14979999999;4455336,18;4752950,73;5323534,5;5862969,37;6745534,14;6931385,43;7198241,48;7829272,2;9002657,86
São Lourenço do Sul;4318804;-31,3564;-51,97149999999;485234,71;558581,28;657312,34;781834,28;893256,81;943534,77;1072592,73;1108701,18;1064180,08
São Luiz Gonzaga;4318903;-28,41199999999;-54,9559;522977,78;620682,42;580417,18;889999,29;867003,39;954847,24;1139003,03;1134868,03;1333395,34
São Marcos;4319000;-28,9677;-51,0696;408329,28;441376,13;488062,88;547947,45;592414,92;624841,29;628863,35;706530,22;849002,62
São Martinho;4319109;-27,7112;-53,9699;94956,09;112764,22;112332,53;176121,21;168008,89;177960,3;200724,92;245782,79;222581,78
São Martinho da Serra;4319125;-29,5397;-53,859;72327,85;85143,8;93539,54;151422,33;150087,8;157882,65;184553,95;167985,12;205925,34
São Miguel das Missões;4319158;-28,556;-54,5559;189716,42;225196,01;133918,8;360436,59;333620,9;379833,39;480184,8;427311,61;518371,35
São Nicolau;4319208;-28,18339999999;-55,2654;60154,12;65973,01;66284,57;93417;91599,32;116373,65;135517,98;130469,81;155602,41
São Paulo das Missões;4319307;-28,0195;-54,94039999999;75343,14;81553,96;82305,89;111861,07;114275,82;122726,46;146406,09;145061,52;162243,69
São Pedro da Serra;4319356;-29,4193;-51,51339999999;33053,02;36846,49;46701,53;57276,94;59912,75;63212,12;66089,46;71854,62;79842,49
São Pedro das Missões;4319364;-27,77321999999;-53,25047;24119,89;27780,68;26048,98;40487,51;51934,39;57249,76;67571,7;51489,56;71365,96
São Pedro do Butiá;4319372;-28,1243;-54,8926;49809,85;54304,26;50669,73;66766,53;70345,9;76962,77;93085,58;90610,22;102134,17
São Pedro do Sul;4319406;-29,6202;-54,18549999999;182866,42;204593,82;208133,97;269106,79;303783,51;318109,43;346999,69;365928,98;397931,33
São Sebastião do Caí;4319505;-29,5885;-51,37489999999;389760,27;432781,15;471973,87;529047,15;572829,2;597698,19;577631,47;631810,85;701699,45
São Sepé;4319604;-30,1643;-53,56029999999;328886,94;367200,91;407241,6;552217,21;649800,87;694727,9;768336,52;823028,75;805171,76
São Valentim;4319703;-27,55829999999;-52,52369999999;56725,83;62382,02;58964,2;72773,5;82812,29;84270,61;92488,46;87735,05;91182,45
São Valentim do Sul;4319711;-29,0451;-51,7684;38530,51;37998,88;37033,37;42657,81;46130,83;48875,28;51083,3;54723,78;68493,28
São Valério do Sul;4319737;-27,7906;-53,93679999999;27286,27;32455,3;25740,15;47377,02;44361,67;48448,01;59996,31;54232,42;55405,03
São Vendelino;4319752;-29,3729;-51,3675;32137,5;45564,9;62759,61;70980,39;53197,56;59471,31;62957,29;64027,54;75827,1
São Vicente do Sul;4319802;-29,68819999999;-54,6826;101807,17;112419,78;121667,85;172568,18;213337,22;230068,95;222293,86;226616,76;274617,93
Sapiranga;4319901;-29,63489999999;-51,0065;1571774,47;1682676,14;1956531,96;2120574,27;2495945,25;2844423,39;2879301,78;3286118,87;3312010,03
Sapucaia do Sul;4320008;-29,8276;-51,145;2242807,59;2297725,27;2608731,53;2625020,18;2911181,03;3017905,6;2792944,98;3135020,48;3391581,7
Sarandi;4320107;-27,942;-52,92309999999;449683,56;508086,01;542404,03;611702,21;712312,56;754853,02;783972,96;842808,78;919707,12
Seberi;4320206;-27,4829;-53,4026;152151,52;183056,85;182263,47;259528,08;268561,14;299622,82;323865,17;316080,36;357771,53
Sede Nova;4320230;-27,6367;-53,9493;49861,31;56470,96;55244,11;82142,79;80742,5;83304,43;90392,87;87939;100496,42
Segredo;4320263;-29,3523;-52,9767;73685,13;79638,45;83596,86;107416,66;110461,93;120283,92;117837,27;131397,73;130978,35
Selbach;4320305;-28,6294;-52,9498;118424,48;119278,24;127828,92;170756,44;181680,47;188394,47;215171,6;211069,54;240209,08
Senador Salgado Filho;4320321;-28,025;-54,55069999999;43133,62;53475,43;43495,66;70874,37;72614,59;80325,23;93294,97;80720,9;91627,76
Sentinela do Sul;4320354;-30,6107;-51,58619999999;47026,06;51138,13;60487,6;72787,89;81323,83;78161,93;91809,65;84588,95;81447,04
Serafina Corrêa;4320404;-28,71259999999;-51,93529999999;364123,1;384256,6;432599,59;479728,87;572883,1;577077,46;608892,73;618494,2;663509,44
Sério;4320453;-29,3904;-52,2685;25257,95;27497,14;30886,43;35413,57;38052,57;36839,66;39135,64;41914,82;42223,25
Sertão;4320503;-27,9798;-52,2588;129824,57;148766,72;156119,59;214092,8;223704,38;233356,51;261628,3;276634,41;307200,74
Sertão Santana;4320552;-30,45619999999;-51,6017;81311,07;93230,52;107593,42;118047,06;132286,42;149650,81;177855,4;170215,89;236476,84
Sete de Setembro;4320578;-28,13619999999;-54,4637;34428,68;37784,98;26221,47;50734,82;50509,62;53474,98;69666,63;62920,85;62937,47
Severiano de Almeida;4320602;-27,43619999999;-52,12169999999;51092,86;56681,4;59169,42;75671,21;86361,55;91356,96;98532,37;97651,6;100715,51
Silveira Martins;4320651;-29,64669999999;-53,591;25083,09;27322,64;28217,66;40105,56;41468,04;46035,84;51001,93;48652,03;53181,86
Sinimbu;4320677;-29,53569999999;-52,5305;110719,22;125138,66;128410,56;162523,26;178309,13;182902,83;196002,15;201151,36;194309,78
Sobradinho;4320701;-29,4194;-53,0326;218755,9;215890,04;237123,45;304207,33;312520,13;323079,26;354399,54;370494,48;363023,88
Soledade;4320800;-28,8306;-52,5131;363254,73;456048,4;471625,8;577024,68;625886,51;694270,08;759997,02;868944,73;975864,26
Tabaí;4320859;-29,643;-51,68229999999;46204,53;48138,01;68424,35;67206,64;74902,91;80182,38;76315,79;68607,95;81380,92
Tapejara;4320909;-28,0652;-52,0097;429588,11;488900,25;556135,06;634318,61;683783,74;752294,39;857069,68;875683,85;1126284,62
Tapera;4321006;-28,6277;-52,86119999999;257340,11;285492,31;278416,4;302529,17;326419,97;356197,13;418273,26;406430,63;453521,39
Tapes;4321105;-30,66829999999;-51,39909999999;206604,13;214463,25;231774,17;272361,82;293787,92;324781,58;350695,07;370131,38;356167,34
Taquara;4321204;-29,6505;-50,7753;774211,44;831631,48;924478,7;1003041,06;1139266,8;1205348,18;1158892,8;1256709,12;1306886,61
Taquari;4321303;-29,7943;-51,86529999999;424905,49;442792,83;499687,68;558241,78;647112,07;676012,42;677622,71;679786,57;749873,33
Taquaruçu do Sul;4321329;-27,4004;-53,4703;38974,51;40496,74;43911,16;79479,34;82837,82;85801,38;99352,15;98778,8;116714,49
Tavares;4321352;-31,2843;-51,088;54752,4;52179,15;58432,16;69179,08;72970,52;74970,71;85294,34;84534,38;82761,63
Tenente Portela;4321402;-27,37109999999;-53,75849999999;163288,78;185285,36;192602,43;264241,84;289899,96;334380,27;363136,86;394670,83;421623,27
Terra de Areia;4321436;-29,57819999999;-50,06439999999;88774,09;94591,86;118206;136581,72;156323;185639,67;202617,23;218480,71;224160,37
Teutônia;4321451;-29,4482;-51,8044;697408,45;810585,19;873674,11;958225,23;1029997,54;1043217,41;1182113,28;1289616,99;1426977,35
Tio Hugo;4321469;-28,57404;-52,5949;54104,72;62812,32;65853,85;91494,88;86330,2;111712,37;113352,98;109327,98;123112,13
Tiradentes do Sul;4321477;-27,4022;-54,0814;59615,66;71974,46;75766,77;97810,03;100719,97;110764,8;124680,53;123463,49;125445,85
Toropi;4321493;-29,4782;-54,2244;32495,48;35497,87;35235,93;53998,4;58013,75;61724,43;65861,84;64257,97;71788,32
Torres;4321501;-29,3334;-49,7333;505242,24;556824,42;659063,2;737995,64;858163,07;978107,62;1087933,21;1162766,36;1138188,86
Tramandaí;4321600;-29,9841;-50,13219999999;485427,55;541161,74;623067,12;722091,92;826132,86;876263,44;944760,34;1011454,53;1027971,6
Travesseiro;4321626;-29,29769999999;-52,05319999999;44431,12;42179,6;48377,48;55107,21;62418,41;58725,08;59792,62;61638,86;60429,87
Três Arroios;4321634;-27,50029999999;-52,14479999999;38522,42;42695,65;43155,58;105346,73;130637,43;67830,83;75841,17;74197,11;77972,61
Três Cachoeiras;4321667;-29,44869999999;-49,9275;115971,62;123447,89;137995,86;166401,17;195343,49;204827,9;233996,94;241520,01;254214,69
Três Coroas;4321709;-29,5137;-50,77389999999;720060,5;727440,52;761001,79;775404,63;902764,01;917349,5;864138,73;911455,77;942723,48
Três de Maio;4321808;-27,78;-54,2357;408323,82;461693,21;516644,47;661342,3;758429,49;849515,81;938685,48;946236,16;1086481,21
Três Forquilhas;4321832;-29,53839999999;-50,07079999999;27445,78;29219,91;31718,17;42154,47;46039,22;50946,48;58197,26;51729,4;50904,94
Três Palmeiras;4321857;-27,6139;-52,84369999999;64835,71;68763,66;57467,11;96148,24;99681,21;108385,99;133591,59;114406,91;137490,12
Três Passos;4321907;-27,4555;-53,9296;380637,22;412603,28;486336,95;545956,8;591334,59;665366,06;721244,01;779906,14;826787,14
Trindade do Sul;4321956;-27,5239;-52,8956;75699,84;84668,52;76109,88;129219,07;132621,25;151153,14;160392,96;161103,45;180272,53
Triunfo;4322004;-29,92909999999;-51,7075;5670540,87;5232775,73;5593389,28;5877458,61;5104151,25;7479634,28;7653373,18;8803874,33;8885017,34
Tucunduva;4322103;-27,65729999999;-54,44389999999;108792,56;126161,94;115344,47;154297,72;173439,75;175756,48;202641,69;196720,57;217090,33
Tunas;4322152;-29,10389999999;-52,9538;41433,35;48762,2;39366,52;63642,55;64688,16;71329,91;69622,12;81327,85;80212,58
Tupanci do Sul;4322186;-27,92409999999;-51,5383;25545,6;26781,01;28349,92;38839,14;42680,68;38846,46;46565,28;42919,36;52330,87
Tupanciretã;4322202;-29,08579999999;-53,84449999999;535174,61;690418,92;575513,24;998375,47;934684,12;1017709,28;1165022,04;1073416,53;1281989,69
Tupandi;4322251;-29,4772;-51,4174;183647,75;203278,7;267970,52;314850,83;368012,83;419802,39;397429,64;415872,11;500718,22
Tuparendi;4322301;-27,75979999999;-54,4814;137987,65;156138,06;146374,88;207140,49;221302,27;238077,41;275416,44;264509,08;295762,39
Turuçu;4322327;-31,4173;-52,1706;42962,85;44788,38;53749,99;71944,46;79927,24;82560,86;88177,61;99674,03;96551,65
Ubiretama;4322343;-28,0404;-54,68589999999;28612,72;33112,06;29874,69;44889,39;48107,5;50039,87;60209,79;57826,64;63259,18
União da Serra;4322350;-28,7833;-52,0238;30784,31;32625,27;28666,46;44233,76;48571,23;50186,95;55341,71;50882,32;51757,95
Unistalda;4322376;-29,03999999999;-55,15169999999;29289,49;31327,95;28963,91;44844,96;45756,69;54071,47;62120,33;59452,75;68335,68
Uruguaiana;4322400;-29,76139999999;-57,08529999999;1518546,83;1569260,66;1803991,92;2094172;2295320,84;2626712,71;2609549,72;2807638,84;2771360,63
Vacaria;4322509;-28,50789999999;-50,9418;1214764,9;1198959,98;1387675,2;1661302,23;1746092,53;1925545,44;2068241,9;2131390,4;2256728,38
Vale do Sol;4322533;-29,59669999999;-52,6839;210210,65;173750,24;163132,81;196373,38;209694,48;217658,53;223346,99;231581,58;222662,21
Vale Real;4322541;-29,3919;-51,25589999999;58800,53;68012,15;73119,99;87123,06;104465,38;112355,37;136315,15;130698,59;129031,31
Vale Verde;4322525;-29,7864;-52,18569999999;40318,13;43315,96;59435,73;64158,14;70754,98;73843,56;79787,76;76099,91;76341,72
Vanini;4322558;-28,4758;-51,8447;30731,26;33521,12;36683,85;47375,81;50557,82;51688,44;56547,74;57348,42;58829,9
Venâncio Aires;4322608;-29,6143;-52,19319999999;1722109,11;1881894,83;2042668,08;2586804,52;2810525,92;2835909,92;2676791,45;2696506,53;3509832,21
Vera Cruz;4322707;-29,71839999999;-52,5152;388823,28;437504,43;466990,91;568609,04;613024,39;603937,39;586888,88;597025,44;651275,67
Veranópolis;4322806;-28,9312;-51,5516;612324,58;753031,65;840212,21;870188,56;1011305,91;1134791,69;1172392,89;1405089,72;1549593,63
Vespasiano Correa;4322855;-29,0655;-51,8625;34526,2;38574,21;41140,4;51801,14;55640,55;57175,04;64551,39;61703,99;67425,99
Viadutos;4322905;-27,5716;-52,02109999999;58801,57;70879,55;73988,83;119373,01;138828,14;145607,08;164601,08;123181,45;137276,25
Viamão;4323002;-30,0819;-51,01939999999;1948820,25;2110597,14;2497618,04;2686086,77;3085283,74;3239885,28;3483649,49;3564507,03;3743506,03
Vicente Dutra;4323101;-27,16079999999;-53,4022;46111,64;53079,04;60403,48;77851,21;80196,06;78519,37;98932,49;91674,49;94667,53
Victor Graeff;4323200;-28,56319999999;-52,74949999999;73927,81;92828,15;92268,72;148880,15;116093,74;145378,04;154738,82;135288,68;175023,6
Vila Flores;4323309;-28,8598;-51,5504;87574,24;95980,1;110096,66;139008,51;163850,65;145833,64;149587,4;156582,61;176435,15
Vila Lângaro;4323358;-28,1062;-52,14379999999;43271,13;53471,76;52462,36;87872,08;73792,46;89754,79;98593,41;91236,42;111366,39
Vila Maria;4323408;-28,5359;-52,14869999999;113768,54;134599,01;145674,52;192489,72;188118,97;183625,43;207995,53;202792,37;210835,56
Vila Nova do Sul;4323457;-30,3461;-53,87599999999;46747,72;52209,95;53587,95;77787;86347,09;96831,54;118510,77;116880,93;120672,33
Vista Alegre;4323507;-27,3686;-53,4919;39384,02;38134,07;36229,99;53171,26;62571,89;60064,81;72908,18;73816,37;83790,3
Vista Alegre do Prata;4323606;-28,80519999999;-51,7946;34646,15;34630,17;30262,54;43445,77;48992,99;50766,72;55089,81;51938,44;54059,19
Vista Gaúcha;4323705;-27,29019999999;-53,6974;36629,46;40395,31;44226,14;54188,81;60644,88;63826,61;64361,07;66678,09;66472,05
Vitória das Missões;4323754;-28,3516;-54,50399999999;41305,48;47272,17;30670,91;64488,59;64827,01;72608,95;87020,51;82325,72;98858,53
Westfalia;4323770;-29,3744;-51,74629999999;67025,8;73215,58;85838,33;105689,69;112311,96;120929,65;137422,03;142458,97;167840,96
Xangri-lá;4323804;-29,8065;-50,0519;207981,22;234331,79;284392,53;309047,48;366214,56;426193,86;510803,48;523240,06;500026,91
