variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Itaara;4310538;-29,60129999999;-53,7725;38;39;26;26;55
Itacurubi;4310553;-28,7913;-55,2447;38;34;32;28;28
Itapuca;4310579;-28,7768;-52,1693;22;13;24;19;14
Itaqui;4310603;-29,131;-56,55149999999;263;260;288;289;338
Itati;4310652;-29,48832;-50,11357999999;27;20;26;25;30
Itatiba do Sul;4310702;-27,38459999999;-52,4538;52;50;39;31;31
Ivorá;4310751;-29,52319999999;-53,5842;22;23;22;16;31
Ivoti;4310801;-29,59949999999;-51,1533;200;233;212;208;249
Jaboticaba;4310850;-27,63469999999;-53,2762;30;21;33;30;25
Jacuizinho;4310876;-29,02199999999;-53,05369999999;21;25;26;31;22
Jacutinga;4310900;-27,72909999999;-52,53719999999;46;39;45;49;36
Jaguarão;4311007;-32,5604;-53,377;155;141;163;159;158
Jaguari;4311106;-29,4936;-54,703;92;99;100;89;79
Jaquirana;4311122;-28,8811;-50,3637;34;24;32;33;32
Jari;4311130;-29,2922;-54,2237;18;14;25;16;21
Jóia;4311155;-28,6435;-54,1141;58;59;56;59;59
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;112;126;113;155;180
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;23;29;36;25;29
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;13;14;10;8;10
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;255;242;253;252;314
Lagoão;4311254;-29,2348;-52,7997;43;88;58;54;43
Lajeado;4311403;-29,45909999999;-51,96439999999;539;600;516;540;615
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;13;17;26;21;27
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;48;47;60;53;99
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;55;45;64;44;42
Lindolfo Collor;4311627;-29,58589999999;-51,2141;40;46;39;32;51
Linha Nova;4311643;-29,4679;-51,20029999999;18;18;12;18;18
Maçambará;4311718;-29,1445;-56,06739999999;46;63;65;56;63
Machadinho;4311700;-27,5667;-51,6668;33;38;54;33;51
Mampituba;4311734;-29,2136;-49,9311;31;22;25;32;26
Manoel Viana;4311759;-29,58589999999;-55,48409999999;36;47;46;53;58
Maquiné;4311775;-29,6798;-50,2079;44;51;63;62;51
Maratá;4311791;-29,5457;-51,55729999999;27;35;29;39;20
Marau;4311809;-28,4498;-52,19859999999;253;270;281;304;320
Marcelino Ramos;4311908;-27,4676;-51,9095;37;43;52;44;63
Mariana Pimentel;4311981;-30,3531;-51,5803;37;34;43;32;30
Mariano Moro;4312005;-27,3568;-52,1467;25;31;21;20;18
Marques de Souza;4312054;-29,33109999999;-52,09729999999;31;24;24;22;37
Mata;4312104;-29,5649;-54,4641;32;36;37;44;46
Mato Castelhano;4312138;-28,28;-52,19319999999;28;30;27;30;21
Mato Leitão;4312153;-29,5285;-52,1278;32;44;35;31;41
Mato Queimado;4312179;-28,2475;-54,61919999999;11;20;14;14;11
Maximiliano de Almeida;4312203;-27,6325;-51,8021;33;50;46;46;53
Minas do Leão;4312252;-30,13459999999;-52,04229999999;36;45;50;33;35
Miraguaí;4312302;-27,497;-53,6891;134;98;64;69;74
Montauri;4312351;-28,6462;-52,0767;19;17;19;29;29
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;22;41;34;38;27
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;26;25;20;16;34
Montenegro;4312401;-29,6824;-51,4679;400;422;418;442;516
Mormaço;4312427;-28,6968;-52,6999;20;28;23;24;29
Morrinhos do Sul;4312443;-29,3578;-49,9328;43;39;44;36;32
Morro Redondo;4312450;-31,58869999999;-52,6261;44;32;41;39;30
Morro Reuter;4312476;-29,5379;-51,08109999999;51;47;51;42;52
Mostardas;4312500;-31,10539999999;-50,91669999999;92;99;108;89;111
Muçum;4312609;-29,163;-51,8714;44;35;52;44;53
Muitos Capões;4312617;-28,31319999999;-51,18359999999;27;26;22;20;28
Muliterno;4312625;-28,32529999999;-51,7697;14;21;21;10;12
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;64;68;22;103;103
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;22;16;12;16;12
Nonoai;4312708;-27,3689;-52,77559999999;77;88;106;130;110
Nova Alvorada;4312757;-28,6822;-52,1631;29;34;29;29;26
Nova Araçá;4312807;-28,6537;-51,7458;65;64;48;55;61
Nova Bassano;4312906;-28,72909999999;-51,7072;107;82;85;79;78
Nova Boa Vista;4312955;-27,99259999999;-52,9784;37;18;42;30;39
Nova Bréscia;4313003;-29,2182;-52,0319;48;40;46;33;36
Nova Candelária;4313011;-27,6137;-54,10739999999;38;27;27;21;25
Nova Esperança do Sul;4313037;-29,4066;-54,8293;38;62;49;38;48
Nova Hartz;4313060;-29,5807;-50,90509999999;224;212;200;214;190
Nova Pádua;4313086;-29,0275;-51,3098;39;16;28;31;21
Nova Palma;4313102;-29,471;-53,46889999999;42;54;43;57;72
Nova Petrópolis;4313201;-29,37409999999;-51,1135;132;153;164;164;150
Nova Prata;4313300;-28,7799;-51,6113;262;195;181;187;212
Nova Ramada;4313334;-28,0667;-53,69919999999;16;27;21;14;15
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;51;46;35;29;47
Nova Santa Rita;4313375;-29,85249999999;-51,2837;109;103;150;172;149
Novo Barreiro;4313490;-27,90769999999;-53,1103;36;39;30;43;39
Novo Cabrais;4313391;-29,73379999999;-52,9489;29;40;47;38;36
Novo Hamburgo;4313409;-29,6876;-51,1328;2026;1747;1700;1814;2034
Novo Machado;4313425;-27,57649999999;-54,50359999999;26;29;28;22;23
Novo Tiradentes;4313441;-27,5649;-53,1837;28;25;18;28;26
Novo Xingu;4313466;-27,74309999999;-53,06159999999;26;23;27;19;16
Osório;4313508;-29,8881;-50,2667;426;451;352;354;401
Paim Filho;4313607;-27,7075;-51,76299999999;27;37;46;44;42
Palmares do Sul;4313656;-30,25349999999;-50,5103;56;49;54;65;61
Palmeira das Missões;4313706;-27,9006;-53,3134;315;285;302;332;298
Palmitinho;4313805;-27,3596;-53,558;71;77;85;86;87
Panambi;4313904;-28,2833;-53,50229999999;276;284;283;302;353
Pantano Grande;4313953;-30,1901;-52,3729;71;69;69;66;78
Paraí;4314001;-28,59639999999;-51,7896;87;63;92;79;66
Paraíso do Sul;4314027;-29,6717;-53,14399999999;37;24;38;46;50
Pareci Novo;4314035;-29,6365;-51,39739999999;26;35;25;29;32
Parobé;4314050;-29,6243;-50,8312;312;313;334;344;403
Passa Sete;4314068;-29,45769999999;-52,95989999999;50;47;46;57;37
Passo do Sobrado;4314076;-29,748;-52,27479999999;58;48;41;59;43
Passo Fundo;4314100;-28,2576;-52,4091;1200;1331;1293;1528;1682
Paulo Bento;4314134;-27,6978;-52,42609999999;16;16;23;9;12
Paverama;4314159;-29,5485;-51,73389999999;59;61;65;53;62
Pedras Altas;4314175;-31,72169999999;-53,58379999999;17;9;9;11;16
Pedro Osório;4314209;-31,8642;-52,81839999999;56;28;41;59;43
Pejuçara;4314308;-28,4283;-53,65789999999;37;41;43;33;37
Pelotas;4314407;-31,7649;-52,3371;2172;2170;1994;2114;2412
Picada Café;4314423;-29,4464;-51,13669999999;68;53;67;64;65
Pinhal;4314456;-27,50799999999;-53,20819999999;17;33;21;31;26
Pinhal da Serra;4314464;-27,86339999999;-51,1702;16;14;23;18;20
Pinhal Grande;4314472;-29,34499999999;-53,3207;43;41;52;51;45
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;35;49;36;41;39
Pinheiro Machado;4314506;-31,5794;-53,3798;42;46;43;53;69
Pinto Bandeira;4314548;-29;-54;-;-;-;22;24
Pirapó;4314555;-28,0439;-55,20009999999;33;22;31;31;33
Piratini;4314605;-31,44729999999;-53,09729999999;101;125;100;115;131
Planalto;4314704;-27,32969999999;-53,0575;122;116;111;87;108
Poço das Antas;4314753;-29,4481;-51,6719;25;29;13;19;23
Pontão;4314779;-28,05849999999;-52,67909999999;27;30;42;32;55
Ponte Preta;4314787;-27,6587;-52,4848;15;15;13;17;17
Portão;4314803;-29,70149999999;-51,24289999999;202;196;166;227;238
Porto Alegre;4314902;-30,032778;-51,23;9466;9021;9570;9414;10279
Porto Lucena;4315008;-27,8569;-55,00999999999;36;38;27;26;33
Porto Mauá;4315057;-27,57959999999;-54,6657;31;28;20;21;21
