variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Canguçu;4304507;-31,396;-52,67819999999;42463;46408;49395;52213;58203;57183;57798;63524;61330
Canoas;4304606;-29,9128;-51,18569999999;663613;692850;752619;764498;816698;762982;745627;753281;789841
Capão Bonito do Sul;4304622;-29,76419999999;-50,02819999999;2524;2500;2739;2783;2969;2990;2838;3064;3164
Capão da Canoa;4304630;-29,6397;-49,95989999999;94306;101414;106028;107149;122488;122752;123434;127604;130283
Capão do Cipó;4304655;-28,904;-54,7;3700;4028;4491;4378;4771;4533;4928;4882;5597
Capão do Leão;4304663;-31,75649999999;-52,4889;58695;62193;64826;59975;61460;55956;54253;53258;50789
Capela de Santana;4304689;-29,6961;-51,328;13160;14090;15693;18119;20037;18378;18356;17696;18315
Capitão;4304697;-29,26739999999;-51,9853;115;137;154;159;199;206;234;225;221
Capivari do Sul;4304671;-30,1382;-50,51509999999;22045;23466;24697;25115;27182;24846;24265;24317;25662
Caraá;4304713;-29,78689999999;-50,4316;8035;8306;8769;9296;9970;9630;9990;10961;10672
Carazinho;4304705;-28,2958;-52,7933;137557;148207;154209;164135;176056;162485;174764;167396;167177
Carlos Barbosa;4304804;-29,2969;-51,50289999999;60198;157660;156190;173192;186372;189223;189060;201888;210955
Carlos Gomes;4304853;-27,71669999999;-51,9121;1424;1491;1584;1630;1764;1705;1634;1694;1720
Casca;4304903;-28,5605;-51,98149999999;27991;29878;33076;34683;36650;37563;40311;39983;39722
Caseiros;4304952;-28,25819999999;-51,6861;3436;3746;3980;4168;4635;4828;5653;5743;6088
Catuípe;4305009;-28,2554;-54,01319999999;6883;7154;7621;7676;8775;8509;8741;8845;9311
Caxias do Sul;4305108;-29,1629;-51,1792;1186889;1583808;1538679;1633634;1589531;1443932;1410570;1414812;1462630
Centenário;4305116;-27,7616;-51,99839999999;2474;2540;2702;2826;3204;3283;3260;3510;3592
Cerrito;4305124;-31,84189999999;-52,8004;6328;6815;7017;6855;7161;6854;6296;6703;6496
Cerro Branco;4305132;-29,657;-52,9406;118;115;116;128;142;128;121;132;141
Cerro Grande;4305157;-27,6106;-53,1672;69;66;69;59;66;70;67;73;81
Cerro Grande do Sul;4305173;-30,59049999999;-51,74179999999;7666;8331;8725;9223;10361;10012;10127;11266;11281
Cerro Largo;4305207;-28,1462;-54,7428;40744;54159;58073;61667;66450;61562;63878;67068;70371
