variavel: Total;;;;;;;;;;;;
caminho: /Comunicações/Acessos à Internet/Meio de Acesso/Total;;;;;;;;;;;;
fonte: Agência Nacional de Telecomunicações.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Estação;4307559;-27,91349999999;-52,2635;1723;6667;11018;11092;11092;11049;12462;14526;16282
Estância Velha;4307609;-29,6535;-51,1843;9218;32708;59157;65856;65856;76463;80981;78580;80111
Esteio;4307708;-29,852;-51,1841;33047;109395;154779;178755;178755;199141;204692;224603;238876
Estrela;4307807;-29,5016;-51,9605;10201;26987;33616;33318;33318;30384;28706;28210;93543
Estrela Velha;4307815;-29,17129999999;-53,16389999999;24;71;123;158;158;659;869;1338;3652
Eugênio de Castro;4307831;-28,5315;-54,15059999999;187;542;679;611;611;587;553;931;5613
Fagundes Varela;4307864;-28,8794;-51,7014;409;782;2057;3412;3412;4433;5320;6539;6654
Farroupilha;4307906;-29,2227;-51,3419;15512;92418;113099;123301;123301;149225;173510;188485;219684
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;1117;3183;4114;4450;4450;4802;4965;5236;7501
Faxinalzinho;4308052;-27,4238;-52,67889999999;44;235;455;514;514;532;401;474;249
Fazenda Vilanova;4308078;-29,5885;-51,8217;11;92;339;370;370;394;297;288;4880
Feliz;4308102;-29,4527;-51,30319999999;2828;9513;9411;14073;14073;15098;13512;9385;21965
Flores da Cunha;4308201;-29,02619999999;-51,1875;6415;18656;29229;36353;36353;32207;37891;55692;62730
Floriano Peixoto;4308250;-27,8614;-52,08379999999;33;74;312;518;518;490;1442;601;1692
Fontoura Xavier;4308300;-28,9816;-52,34449999999;179;1573;2802;3522;3522;4169;4908;4228;4357
Formigueiro;4308409;-30,00349999999;-53,49589999999;667;2374;4849;4885;4885;5208;5344;8369;8205
Forquetinha;4308433;-29,3792;-52,0917;13;32;132;132;132;145;160;159;4098
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;335;1094;1197;1197;1197;1261;1233;1311;10310
Frederico Westphalen;4308508;-27,35859999999;-53,3958;16461;31383;44271;54753;54753;66682;72662;70014;78146
Garibaldi;4308607;-29,259;-51,5352;8871;28285;29142;26658;26658;26317;26463;52076;122563
Garruchos;4308656;-28,1944;-55,6383;23;63;145;733;733;1066;1036;1143;1573
Gaurama;4308706;-27,58559999999;-52,0915;1170;3584;5696;4273;4273;3573;4194;2954;4130
General Câmara;4308805;-29,90319999999;-51,7612;932;2947;3851;3971;3971;4043;4510;4519;6154
Gentil;4308854;-28,4316;-52,0337;459;1049;4725;4558;4558;4985;6403;9354;2568
Getúlio Vargas;4308904;-27,8911;-52,22939999999;3623;10495;29692;26909;26909;21981;24728;28517;34937
Giruá;4309001;-28,02969999999;-54,3517;2372;6716;9552;10571;10571;10655;10449;11147;24377
Glorinha;4309050;-29,87979999999;-50,7734;358;1092;1224;1407;1407;1450;1721;1967;7971
Gramado;4309100;-29,3733;-50,87619999999;12585;35343;48751;55250;55250;58542;60940;59889;93629
Gramado dos Loureiros;4309126;-27,4429;-52,9149;106;501;960;872;872;891;468;660;492
