variavel: Total;;;;;;;;;;;;
caminho: /Educação/Ensino Médio/Taxa de Reprovação/Total;;;;;;;;;;;;
fonte: Instituto Nacional de Estudos e Pesquisas Educacionais.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-);2015 (-);2016 (-);2017 (-);2018 (-)
Chuvisca;4305447;-30,75039999999;-51,9737;16,8;15,2;11,5;10,5;14,4;15,7;19,7;16,5;19,9
Cidreira;4305454;-30,16039999999;-50,2338;16,9;16,9;19,8;12,8;12,4;5,8;9,7;18,7;19,6
Ciríaco;4305504;-28,34189999999;-51,87409999999;7;12,1;4,4;1,2;6,3;12,8;16,9;11;7,5
Colinas;4305587;-29,38149999999;-51,8526;10,8;7,4;2;5,8;8,6;3,7;8;7;7,3
Colorado;4305603;-28,5258;-52,9928;12,5;1,8;7,1;7,8;5,2;20,5;8,7;10,7;21,2
Condor;4305702;-28,2075;-53,49049999999;0;5,6;6,6;3,4;16,1;22,7;20;22,3;16,2
Constantina;4305801;-27,73199999999;-52,9938;16,3;12,7;12,2;13,8;19,6;18,5;20,8;8,4;17,6
Coqueiro Baixo;4305835;-29,1722;-52,0989;4,3;2,2;6;3,6;0;0;0;0;0
Coqueiros do Sul;4305850;-28,11939999999;-52,78419999999;17,9;12,8;22,1;2,9;23,2;7,4;14;11,1;19
Coronel Barros;4305871;-28,39219999999;-54,0686;2,8;8,1;6,2;3,7;3,6;0;0;6,3;0
Coronel Bicaco;4305900;-27,7197;-53,70219999999;18,1;17,9;11,2;20,9;9,4;13,2;15,7;15,7;16,4
Coronel Pilar;4305934;-29,2684;-51,68789999999;6;-;6,4;-;0;0;0;2,1;0
Cotiporã;4305959;-28,9891;-51,69709999999;9,5;4,8;0,9;8,6;3,4;9,4;6,3;7,6;17,7
Coxilha;4305975;-28,128;-52,3023;8,8;1,3;8,9;6,6;8,5;12,5;15,9;14,5;12,2
Crissiumal;4306007;-27,4999;-54,0994;10,2;8,4;9,6;3,2;6,1;10,2;10,4;7,5;14,5
Cristal;4306056;-31,0046;-52,04359999999;8,4;24,3;15,3;11,6;13;20,5;20,1;20,3;21,9
Cristal do Sul;4306072;-27,452;-53,24219999999;16;19;8,7;4,3;2,6;7,4;5,5;5,4;16,3
Cruz Alta;4306106;-28,645;-53,60479999999;17,9;15,7;16,9;18,5;14,2;17,9;20,2;18,8;15,1
Cruzaltense;4306130;-27,6644;-52,6492;5,8;8,8;-;6,4;0;4,3;11,9;2,7;6,1
Cruzeiro do Sul;4306205;-29,5148;-51,9928;12,5;13,9;10,6;13,4;11,9;16,8;14,7;14,1;18,6
David Canabarro;4306304;-28,38489999999;-51,84819999999;13,9;9,7;5,2;3,4;5,2;1,5;5,3;3,5;6,7
Derrubadas;4306320;-27,26419999999;-53,8645;17,6;1,6;7,3;2,5;0,8;0,9;1;7,2;4,8
Dezesseis de Novembro;4306353;-28,219;-55,0617;8,4;14,6;3,4;4,1;0;7,5;17,2;8,8;13,5
Dilermando de Aguiar;4306379;-29,7054;-54,2122;10,3;18,5;23,1;26,6;12;20;29,2;23,2;28,2
Dois Irmãos;4306403;-29,5836;-51,08979999999;25,4;19;9,4;14,6;16,1;20,5;14,9;13,7;18,2
Dois Irmãos das Missões;4306429;-27,66209999999;-53,5304;28;28,6;13,5;11,2;12,7;7,3;20,4;9,5;22,5
