variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Herval;4307104;-32,024;-53,39439999999;73;83;89;76;72
Herveiras;4309571;-29,4552;-52,65529999999;32;41;36;43;34
Horizontina;4309605;-27,6282;-54,3053;255;232;230;234;215
Hulha Negra;4309654;-31,4067;-53,8667;80;82;81;101;76
Humaitá;4309704;-27,56909999999;-53,96949999999;76;46;41;77;39
Ibarama;4309753;-29,4203;-53,1295;83;41;52;48;36
Ibiaçá;4309803;-28,0566;-51,8599;69;37;54;55;35
Ibiraiaras;4309902;-28,37409999999;-51,6377;101;59;58;96;59
Ibirapuitã;4309951;-28,6247;-52,51579999999;56;57;75;63;53
Ibirubá;4310009;-28,63019999999;-53,0961;190;191;226;191;145
Igrejinha;4310108;-29,56929999999;-50,79189999999;387;349;353;424;362
Ijuí;4310207;-28,3881;-53,92;994;937;952;1036;690
Ilópolis;4310306;-28,9282;-52,12579999999;57;41;42;45;51
Imbé;4310330;-29,9753;-50,1281;187;200;191;227;172
Imigrante;4310363;-29,3508;-51,7747;39;23;26;30;34
Independência;4310405;-27,8354;-54,1886;83;74;75;83;96
Inhacorá;4310413;-27,8752;-54,015;42;30;35;37;18
Ipê;4310439;-28,8171;-51,28589999999;99;89;58;79;64
Ipiranga do Sul;4310462;-27,9404;-52,4271;22;36;24;26;31
Iraí;4310504;-27,1951;-53,2543;101;115;99;89;80
Itaara;4310538;-29,60129999999;-53,7725;63;58;30;52;37
Itacurubi;4310553;-28,7913;-55,2447;46;40;32;44;40
Itapuca;4310579;-28,7768;-52,1693;45;19;31;34;28
Itaqui;4310603;-29,131;-56,55149999999;445;454;470;484;408
Itati;4310652;-29,48832;-50,11357999999;37;20;25;25;12
Itatiba do Sul;4310702;-27,38459999999;-52,4538;72;44;51;54;49
Ivorá;4310751;-29,52319999999;-53,5842;22;33;12;24;24
Ivoti;4310801;-29,59949999999;-51,1533;239;259;310;238;169
Jaboticaba;4310850;-27,63469999999;-53,2762;72;47;52;49;43
Jacuizinho;4310876;-29,02199999999;-53,05369999999;36;25;39;37;18
Jacutinga;4310900;-27,72909999999;-52,53719999999;54;42;29;39;33
Jaguarão;4311007;-32,5604;-53,377;279;245;228;277;253
Jaguari;4311106;-29,4936;-54,703;138;121;134;105;95
Jaquirana;4311122;-28,8811;-50,3637;59;50;50;48;51
Jari;4311130;-29,2922;-54,2237;38;33;57;39;35
Jóia;4311155;-28,6435;-54,1141;121;108;111;117;102
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;277;225;197;213;237
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;38;37;40;41;31
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;19;13;14;15;31
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;334;334;311;317;328
Lagoão;4311254;-29,2348;-52,7997;93;91;87;100;65
Lajeado;4311403;-29,45909999999;-51,96439999999;849;852;880;896;839
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;50;54;43;51;29
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;83;92;86;91;84
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;68;79;81;75;72
Lindolfo Collor;4311627;-29,58589999999;-51,2141;57;60;56;60;69
Linha Nova;4311643;-29,4679;-51,20029999999;17;18;9;16;13
Maçambará;4311718;-29,1445;-56,06739999999;69;85;98;79;67
Machadinho;4311700;-27,5667;-51,6668;60;74;43;91;64
Mampituba;4311734;-29,2136;-49,9311;50;35;49;27;23
