variavel: Total;;;;
caminho: /Demografia/População/Censos Demográficos/Total;;;;
fonte: Núcleo de Demografia e Previdência;;;;
agrupador: Município;;;;
descricao: ;;;;
Município;ibge;latitude;longitude;2010 (-)
Ipê;4310439;-28,8171;-51,28589999999;6016
Ipiranga do Sul;4310462;-27,9404;-52,4271;1944
Iraí;4310504;-27,1951;-53,2543;8078
Itaara;4310538;-29,60129999999;-53,7725;5010
Itacurubi;4310553;-28,7913;-55,2447;3441
Itapuca;4310579;-28,7768;-52,1693;2344
Itaqui;4310603;-29,131;-56,55149999999;38159
Itati;4310652;-29,48832;-50,11357999999;2584
Itatiba do Sul;4310702;-27,38459999999;-52,4538;4171
Ivorá;4310751;-29,52319999999;-53,5842;2156
Ivoti;4310801;-29,59949999999;-51,1533;19874
Jaboticaba;4310850;-27,63469999999;-53,2762;4098
Jacuizinho;4310876;-29,02199999999;-53,05369999999;2507
Jacutinga;4310900;-27,72909999999;-52,53719999999;3633
Jaguarão;4311007;-32,5604;-53,377;27931
Jaguari;4311106;-29,4936;-54,703;11473
Jaquirana;4311122;-28,8811;-50,3637;4177
Jari;4311130;-29,2922;-54,2237;3575
Jóia;4311155;-28,6435;-54,1141;8331
Júlio de Castilhos;4311205;-29,2298;-53,67719999999;19579
Lagoa Bonita do Sul;4311239;-29,48819999999;-53,0138;2662
Lagoa dos Três Cantos;4311270;-28,56759999999;-52,8618;1598
Lagoa Vermelha;4311304;-28,20929999999;-51,52479999999;27525
Lagoão;4311254;-29,2348;-52,7997;6185
Lajeado;4311403;-29,45909999999;-51,96439999999;71445
Lajeado do Bugre;4311429;-27,69129999999;-53,1818;2487
Lavras do Sul;4311502;-30,80709999999;-53,89309999999;7679
Liberato Salzano;4311601;-27,60099999999;-53,07529999999;5780
Lindolfo Collor;4311627;-29,58589999999;-51,2141;5227
Linha Nova;4311643;-29,4679;-51,20029999999;1624
Maçambará;4311718;-29,1445;-56,06739999999;4738
Machadinho;4311700;-27,5667;-51,6668;5510
Mampituba;4311734;-29,2136;-49,9311;3003
Manoel Viana;4311759;-29,58589999999;-55,48409999999;7072
Maquiné;4311775;-29,6798;-50,2079;6905
Maratá;4311791;-29,5457;-51,55729999999;2527
Marau;4311809;-28,4498;-52,19859999999;36364
Marcelino Ramos;4311908;-27,4676;-51,9095;5134
Mariana Pimentel;4311981;-30,3531;-51,5803;3768
Mariano Moro;4312005;-27,3568;-52,1467;2210
Marques de Souza;4312054;-29,33109999999;-52,09729999999;4068
Mata;4312104;-29,5649;-54,4641;5111
Mato Castelhano;4312138;-28,28;-52,19319999999;2470
Mato Leitão;4312153;-29,5285;-52,1278;3865
Mato Queimado;4312179;-28,2475;-54,61919999999;1799
Maximiliano de Almeida;4312203;-27,6325;-51,8021;4911
Minas do Leão;4312252;-30,13459999999;-52,04229999999;7631
Miraguaí;4312302;-27,497;-53,6891;4855
Montauri;4312351;-28,6462;-52,0767;1542
Monte Alegre dos Campos;4312377;-28,68049999999;-50,7834;3102
Monte Belo do Sul;4312385;-29,16069999999;-51,63329999999;2670
Montenegro;4312401;-29,6824;-51,4679;59415
Mormaço;4312427;-28,6968;-52,6999;2749
Morrinhos do Sul;4312443;-29,3578;-49,9328;3182
Morro Redondo;4312450;-31,58869999999;-52,6261;6227
Morro Reuter;4312476;-29,5379;-51,08109999999;5676
Mostardas;4312500;-31,10539999999;-50,91669999999;12124
Muçum;4312609;-29,163;-51,8714;4791
Muitos Capões;4312617;-28,31319999999;-51,18359999999;2988
Muliterno;4312625;-28,32529999999;-51,7697;1813
Não-Me-Toque;4312658;-28,45479999999;-52,81819999999;15936
Nicolau Vergueiro;4312674;-28,5298;-52,46759999999;1721
Nonoai;4312708;-27,3689;-52,77559999999;12074
Nova Alvorada;4312757;-28,6822;-52,1631;3182
Nova Araçá;4312807;-28,6537;-51,7458;4001
Nova Bassano;4312906;-28,72909999999;-51,7072;8840
Nova Boa Vista;4312955;-27,99259999999;-52,9784;1960
Nova Bréscia;4313003;-29,2182;-52,0319;3184
Nova Candelária;4313011;-27,6137;-54,10739999999;2751
Nova Esperança do Sul;4313037;-29,4066;-54,8293;4671
Nova Hartz;4313060;-29,5807;-50,90509999999;18346
Nova Pádua;4313086;-29,0275;-51,3098;2450
Nova Palma;4313102;-29,471;-53,46889999999;6342
Nova Petrópolis;4313201;-29,37409999999;-51,1135;19045
Nova Prata;4313300;-28,7799;-51,6113;22830
Nova Ramada;4313334;-28,0667;-53,69919999999;2437
Nova Roma do Sul;4313359;-28,98819999999;-51,4095;3343
Nova Santa Rita;4313375;-29,85249999999;-51,2837;22716
Novo Barreiro;4313490;-27,90769999999;-53,1103;3978
Novo Cabrais;4313391;-29,73379999999;-52,9489;3855
Novo Hamburgo;4313409;-29,6876;-51,1328;238940
Novo Machado;4313425;-27,57649999999;-54,50359999999;3925
Novo Tiradentes;4313441;-27,5649;-53,1837;2277
Novo Xingu;4313466;-27,74309999999;-53,06159999999;1757
Osório;4313508;-29,8881;-50,2667;40906
Paim Filho;4313607;-27,7075;-51,76299999999;4243
Palmares do Sul;4313656;-30,25349999999;-50,5103;10969
Palmeira das Missões;4313706;-27,9006;-53,3134;34328
Palmitinho;4313805;-27,3596;-53,558;6920
Panambi;4313904;-28,2833;-53,50229999999;38058
Pantano Grande;4313953;-30,1901;-52,3729;9895
Paraí;4314001;-28,59639999999;-51,7896;6812
Paraíso do Sul;4314027;-29,6717;-53,14399999999;7336
Pareci Novo;4314035;-29,6365;-51,39739999999;3511
Parobé;4314050;-29,6243;-50,8312;51502
Passa Sete;4314068;-29,45769999999;-52,95989999999;5154
Passo do Sobrado;4314076;-29,748;-52,27479999999;6011
Passo Fundo;4314100;-28,2576;-52,4091;184826
Paulo Bento;4314134;-27,6978;-52,42609999999;2196
Paverama;4314159;-29,5485;-51,73389999999;8044
Pedras Altas;4314175;-31,72169999999;-53,58379999999;2212
Pedro Osório;4314209;-31,8642;-52,81839999999;7811
Pejuçara;4314308;-28,4283;-53,65789999999;3973
Pelotas;4314407;-31,7649;-52,3371;328275
Picada Café;4314423;-29,4464;-51,13669999999;5182
Pinhal;4314456;-27,50799999999;-53,20819999999;2513
Pinhal da Serra;4314464;-27,86339999999;-51,1702;2130
Pinhal Grande;4314472;-29,34499999999;-53,3207;4471
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;4497
Pinheiro Machado;4314506;-31,5794;-53,3798;12780
Pirapó;4314555;-28,0439;-55,20009999999;2757
Piratini;4314605;-31,44729999999;-53,09729999999;19841
Planalto;4314704;-27,32969999999;-53,0575;10524
Poço das Antas;4314753;-29,4481;-51,6719;2017
Pontão;4314779;-28,05849999999;-52,67909999999;3857
Ponte Preta;4314787;-27,6587;-52,4848;1750
Portão;4314803;-29,70149999999;-51,24289999999;30920
Porto Alegre;4314902;-30,032778;-51,23;1409351
Porto Lucena;4315008;-27,8569;-55,00999999999;5413
Porto Mauá;4315057;-27,57959999999;-54,6657;2542
Porto Vera Cruz;4315073;-27,7405;-54,8994;1852
Porto Xavier;4315107;-27,9082;-55,1379;10558
Pouso Novo;4315131;-29,1738;-52,2136;1875
Presidente Lucena;4315149;-29,5176;-51,1798;2484
Progresso;4315156;-29,24419999999;-52,31969999999;6163
Protásio Alves;4315172;-28,7572;-51,4757;2000
Putinga;4315206;-29,0045;-52,1569;4141
